Drug_targetID,UniProt_ID,DrugBank_ID
DT102,P30542, DB04932
DT103,P30542, DB04954
DT104,P30542, DB06471
DT105,P30542, DB09061
DT106,P30542, DB11757
DT107,P30542, DB12569
DT108,P30542, DB12670
DT109,P00519,DB00171
DT110,P00519, DB00619
DT111,P00519, DB01254
DT112,P00519, DB03878
DT113,P00519, DB04868
DT114,P00519, DB05184
DT115,P00519, DB06616
DT116,P00519, DB07831
DT117,P00519, DB08043
DT118,P00519, DB08231
DT119,P00519, DB08339
DT120,P00519, DB08350
DT121,P00519, DB08583
DT122,P00519, DB08896
DT123,P00519, DB08901
DT124,P00519, DB12010
DT125,P00519, DB12267
DT126,P00519, DB12323
DT127,P00519, DB12597
DT128,P00519, DB14989
DT129,P12319,DB00043
DT130,P12319, DB00895
DT131,P12319, DB05797
DT132,P00451,DB00055
DT133,P00451, DB00100
DT134,P00451, DB06050
DT135,P00451, DB11300
DT136,P00451, DB11312
DT137,P00451, DB11571
DT138,P00451, DB11572
DT139,P00451, DB12872
DT140,P00451, DB13133
DT141,P00451, DB13151
DT142,P00451, DB13152
DT143,P00451, DB13933
DT144,P00451, DB14700
DT145,P00451, DB16007
DT146,P23219,DB00154
DT147,P23219, DB00159
DT148,P23219, DB00244
DT149,P23219, DB00316
DT150,P23219, DB00328
DT151,P23219, DB00350
DT152,P23219, DB00461
DT153,P23219, DB00465
DT154,P23219, DB00469
DT155,P23219, DB00500
DT156,P23219, DB00554
DT157,P23219, DB00573
DT158,P23219, DB00586
DT159,P23219, DB00605
DT160,P23219, DB00711
DT161,P23219, DB00712
DT162,P23219, DB00749
DT163,P23219, DB00784
DT164,P23219, DB00788
DT165,P23219, DB00795
DT166,P23219, DB00812
DT167,P23219, DB00814
DT168,P23219, DB00821
DT169,P23219, DB00861
DT170,P23219, DB00870
DT171,P23219, DB00936
DT172,P23219, DB00939
DT173,P23219, DB00945
DT174,P23219, DB00963
DT175,P23219, DB00991
DT176,P23219, DB01009
DT177,P23219, DB01014
DT178,P23219, DB01050
DT179,P23219, DB01283
DT180,P23219, DB01397
DT181,P23219, DB01399
DT182,P23219, DB01401
DT183,P23219, DB01419
DT184,P23219, DB01435
DT185,P23219, DB01600
DT186,P23219, DB01837
DT187,P23219, DB01892
DT188,P23219, DB02047
DT189,P23219, DB02110
DT190,P23219, DB02198
DT191,P23219, DB02266
DT192,P23219, DB02379
DT193,P23219, DB02709
DT194,P23219, DB02773
DT195,P23219, DB03667
DT196,P23219, DB03752
DT197,P23219, DB03753
DT198,P23219, DB03783
DT199,P23219, DB04552
DT200,P23219, DB04557
DT201,P23219, DB04817
DT202,P23219, DB06725
DT203,P23219, DB06736
DT204,P23219, DB06802
DT205,P23219, DB07981
DT206,P23219, DB07983
DT207,P23219, DB07984
DT208,P23219, DB08814
DT209,P23219, DB09061
DT210,P23219, DB09212
DT211,P23219, DB09213
DT212,P23219, DB09214
DT213,P23219, DB09215
DT214,P23219, DB09216
DT215,P23219, DB09288
DT216,P23219, DB09295
DT217,P23219, DB11071
DT218,P23219, DB11079
DT219,P23219, DB11201
DT220,P23219, DB11323
DT221,P23219, DB12445
DT222,P23219, DB13346
DT223,P23219, DB13501
DT224,P23219, DB13783
DT225,P23219, DB14009
DT226,P23219, DB14011
DT227,P35626,DB00171
DT228,P0A7V8,DB00256
DT229,P0A7V8, DB00453
DT230,P0A7V8, DB00595
DT231,P0A7V8, DB01017
DT232,P0A7V8, DB12329
DT233,P21728,DB00246
DT234,P21728, DB00248
DT235,P21728, DB00334
DT236,P21728, DB00353
DT237,P21728, DB00363
DT238,P21728, DB00397
DT239,P21728, DB00408
DT240,P21728, DB00477
DT241,P21728, DB00502
DT242,P21728, DB00508
DT243,P21728, DB00543
DT244,P21728, DB00589
DT245,P21728, DB00623
DT246,P21728, DB00679
DT247,P21728, DB00714
DT248,P21728, DB00734
DT249,P21728, DB00800
DT250,P21728, DB00805
DT251,P21728, DB00850
DT252,P21728, DB00875
DT253,P21728, DB00988
DT254,P21728, DB01038
DT255,P21728, DB01186
DT256,P21728, DB01200
DT257,P21728, DB01224
DT258,P21728, DB01235
DT259,P21728, DB01238
DT260,P21728, DB01239
DT261,P21728, DB01267
DT262,P21728, DB01403
DT263,P21728, DB01608
DT264,P21728, DB01614
DT265,P21728, DB01621
DT266,P21728, DB01622
DT267,P21728, DB01623
DT268,P21728, DB01624
DT269,P21728, DB04946
DT270,P21728, DB05271
DT271,P21728, DB06077
DT272,P21728, DB06216
DT273,P21728, DB09286
DT274,P21728, DB12093
DT275,P21728, DB12890
DT276,P21728, DB14185
DT277,P12461,DB01099
DT278,P35916,DB00398
DT279,P35916, DB01268
DT280,P35916, DB04879
DT281,P35916, DB05075
DT282,P35916, DB05932
DT283,P35916, DB06080
DT284,P35916, DB06101
DT285,P35916, DB06589
DT286,P35916, DB06626
DT287,P35916, DB08896
DT288,P35916, DB09078
DT289,P35916, DB09079
DT290,P35916, DB11800
DT291,P35916, DB12010
DT292,P35916, DB15685
DT293,P51168,DB00384
DT294,P51168, DB00594
DT295,P02452,DB00048
DT296,P02452, DB04866
DT297,P02452, DB11338
DT298,P02452, DB12872
DT299,P02452, DB13133
DT300,Q9H4B7,DB00309
DT301,Q9H4B7, DB01229
DT302,Q9H4B7, DB01248
DT303,Q9H4B7, DB01873
DT304,Q9H4B7, DB03010
DT305,Q9H4B7, DB05147
DT306,Q9H4B7, DB06042
DT307,Q9H4B7, DB06772
DT308,Q9H4B7, DB08871
DT309,Q9H4B7, DB12334
DT310,Q9H4B7, DB12695
DT311,P56181,DB00157
DT312,P56181, DB09270
DT313,O95363,DB00120
DT314,P17948,DB00398
DT315,P17948, DB01268
DT316,P17948, DB04879
DT317,P17948, DB05075
DT318,P17948, DB05913
DT319,P17948, DB05932
DT320,P17948, DB06080
DT321,P17948, DB06101
DT322,P17948, DB06589
DT323,P17948, DB06626
DT324,P17948, DB07288
DT325,P17948, DB08896
DT326,P17948, DB09078
DT327,P17948, DB09079
DT328,P17948, DB09221
DT329,P17948, DB10770
DT330,P17948, DB11800
DT331,P17948, DB12010
DT332,P17948, DB15685
DT333,Q9UPY5,DB00138
DT334,Q9UPY5, DB00142
DT335,Q9UPY5, DB00740
DT336,Q9UPY5, DB00795
DT337,Q9UPY5, DB06151
DT338,Q9UPY5, DB11590
DT339,Q9UBM7,DB00157
DT340,Q9BTZ2,DB00162
DT341,P06213,DB00030
DT342,P06213, DB00046
DT343,P06213, DB00047
DT344,P06213, DB00071
DT345,P06213, DB01277
DT346,P06213, DB01306
DT347,P06213, DB01307
DT348,P06213, DB01309
DT349,P06213, DB03909
DT350,P06213, DB05115
DT351,P06213, DB05120
DT352,P06213, DB06075
DT353,P06213, DB08513
DT354,P06213, DB09129
DT355,P06213, DB09456
DT356,P06213, DB09564
DT357,P06213, DB11564
DT358,P06213, DB11567
DT359,P06213, DB11568
DT360,P06213, DB12010
DT361,P06213, DB12267
DT362,P06213, DB14751
DT363,P06213, DB15399
DT364,P06213, DB16637
DT365,P9WNL9,DB00330
DT366,O60931,DB00138
DT367,P04049,DB00398
DT368,P04049, DB04973
DT369,P04049, DB05190
DT370,P04049, DB05268
DT371,P04049, DB08862
DT372,P04049, DB08896
DT373,P04049, DB08912
DT374,P04049, DB12010
DT375,O00217,DB00157
DT376,Q9Y285,DB00120
DT377,P29401,DB09130
DT378,Q9Y234,DB00166
DT379,P12259,DB00055
DT380,P12259, DB05777
DT381,P12259, DB11300
DT382,P12259, DB11312
DT383,P12259, DB11571
DT384,P12259, DB11572
DT385,P12259, DB13149
DT386,P12259, DB13151
DT387,O00764,DB00147
DT388,O00764, DB00165
DT389,O00764, DB03909
DT390,O00764, DB04770
DT391,O00764, DB04776
DT392,P24530,DB00559
DT393,P24530, DB06138
DT394,P24530, DB06268
DT395,P24530, DB06403
DT396,P24530, DB06460
DT397,P24530, DB06558
DT398,P24530, DB08932
DT399,Q15738,DB00157
DT400,P20309,DB00185
DT401,P20309, DB00193
DT402,P20309, DB00202
DT403,P20309, DB00209
DT404,P20309, DB00246
DT405,P20309, DB00280
DT406,P20309, DB00332
DT407,P20309, DB00334
DT408,P20309, DB00342
DT409,P20309, DB00363
DT410,P20309, DB00376
DT411,P20309, DB00383
DT412,P20309, DB00387
DT413,P20309, DB00408
DT414,P20309, DB00411
DT415,P20309, DB00424
DT416,P20309, DB00434
DT417,P20309, DB00458
DT418,P20309, DB00462
DT419,P20309, DB00477
DT420,P20309, DB00496
DT421,P20309, DB00502
DT422,P20309, DB00505
DT423,P20309, DB00517
DT424,P20309, DB00572
DT425,P20309, DB00599
DT426,P20309, DB00622
DT427,P20309, DB00725
DT428,P20309, DB00747
DT429,P20309, DB00767
DT430,P20309, DB00804
DT431,P20309, DB00809
DT432,P20309, DB00835
DT433,P20309, DB00934
DT434,P20309, DB00940
DT435,P20309, DB00986
DT436,P20309, DB01019
DT437,P20309, DB01036
DT438,P20309, DB01062
DT439,P20309, DB01069
DT440,P20309, DB01085
DT441,P20309, DB01142
DT442,P20309, DB01151
DT443,P20309, DB01224
DT444,P20309, DB01226
DT445,P20309, DB01231
DT446,P20309, DB01238
DT447,P20309, DB01239
DT448,P20309, DB01337
DT449,P20309, DB01338
DT450,P20309, DB01403
DT451,P20309, DB01409
DT452,P20309, DB01591
DT453,P20309, DB01625
DT454,P20309, DB03128
DT455,P20309, DB04365
DT456,P20309, DB04843
DT457,P20309, DB05752
DT458,P20309, DB06153
DT459,P20309, DB06702
DT460,P20309, DB06709
DT461,P20309, DB06787
DT462,P20309, DB08897
DT463,P20309, DB09076
DT464,P20309, DB09089
DT465,P20309, DB09167
DT466,P20309, DB09185
DT467,P20309, DB09262
DT468,P20309, DB09300
DT469,P20309, DB11181
DT470,P20309, DB11235
DT471,P20309, DB12278
DT472,P20309, DB13581
DT473,P20309, DB13720
DT474,P20309, DB14185
DT475,P30613,DB00119
DT476,P30613, DB02726
DT477,P30613, DB04551
DT478,P30613, DB16236
DT479,Q9H2X9,DB00761
DT480,Q9H2X9, DB00887
DT481,P00734,DB00001
DT482,P00734, DB00006
DT483,P00734, DB00055
DT484,P00734, DB00100
DT485,P00734, DB00170
DT486,P00734, DB00278
DT487,P00734, DB01123
DT488,P00734, DB01225
DT489,P00734, DB01593
DT490,P00734, DB01725
DT491,P00734, DB01766
DT492,P00734, DB01767
DT493,P00734, DB02287
DT494,P00734, DB02723
DT495,P00734, DB03136
DT496,P00734, DB03159
DT497,P00734, DB03847
DT498,P00734, DB03865
DT499,P00734, DB04136
DT500,P00734, DB04591
DT501,P00734, DB04697
DT502,P00734, DB04722
DT503,P00734, DB04771
DT504,P00734, DB04772
DT505,P00734, DB04786
DT506,P00734, DB04898
DT507,P00734, DB05714
DT508,P00734, DB05777
DT509,P00734, DB06404
DT510,P00734, DB06695
DT511,P00734, DB06838
DT512,P00734, DB06841
DT513,P00734, DB06845
DT514,P00734, DB06850
DT515,P00734, DB06853
DT516,P00734, DB06858
DT517,P00734, DB06859
DT518,P00734, DB06861
DT519,P00734, DB06865
DT520,P00734, DB06866
DT521,P00734, DB06868
DT522,P00734, DB06869
DT523,P00734, DB06878
DT524,P00734, DB06911
DT525,P00734, DB06919
DT526,P00734, DB06929
DT527,P00734, DB06936
DT528,P00734, DB06942
DT529,P00734, DB06947
DT530,P00734, DB06996
DT531,P00734, DB07005
DT532,P00734, DB07016
DT533,P00734, DB07027
DT534,P00734, DB07083
DT535,P00734, DB07088
DT536,P00734, DB07091
DT537,P00734, DB07095
DT538,P00734, DB07105
DT539,P00734, DB07120
DT540,P00734, DB07128
DT541,P00734, DB07131
DT542,P00734, DB07133
DT543,P00734, DB07143
DT544,P00734, DB07165
DT545,P00734, DB07190
DT546,P00734, DB07211
DT547,P00734, DB07277
DT548,P00734, DB07278
DT549,P00734, DB07279
DT550,P00734, DB07353
DT551,P00734, DB07366
DT552,P00734, DB07376
DT553,P00734, DB07400
DT554,P00734, DB07440
DT555,P00734, DB07461
DT556,P00734, DB07508
DT557,P00734, DB07515
DT558,P00734, DB07521
DT559,P00734, DB07522
DT560,P00734, DB07527
DT561,P00734, DB07548
DT562,P00734, DB07549
DT563,P00734, DB07550
DT564,P00734, DB07639
DT565,P00734, DB07658
DT566,P00734, DB07659
DT567,P00734, DB07660
DT568,P00734, DB07665
DT569,P00734, DB07718
DT570,P00734, DB07741
DT571,P00734, DB07796
DT572,P00734, DB07809
DT573,P00734, DB07897
DT574,P00734, DB07934
DT575,P00734, DB07944
DT576,P00734, DB07946
DT577,P00734, DB08061
DT578,P00734, DB08062
DT579,P00734, DB08152
DT580,P00734, DB08187
DT581,P00734, DB08254
DT582,P00734, DB08422
DT583,P00734, DB08546
DT584,P00734, DB08624
DT585,P00734, DB09109
DT586,P00734, DB09130
DT587,P00734, DB09228
DT588,P00734, DB09332
DT589,P00734, DB11166
DT590,P00734, DB12598
DT591,P00734, DB12831
DT592,P00734, DB13151
DT593,P00734, DB13152
DT594,P00734, DB14487
DT595,P00734, DB14738
DT596,P30273,DB00895
DT597,P13716,DB00855
DT598,P13716, DB02068
DT599,P13716, DB02239
DT600,P13716, DB02260
DT601,P13716, DB02272
DT602,P13716, DB02878
DT603,P13716, DB04560
DT604,P13716, DB04781
DT605,P14060,DB00157
DT606,P14060, DB01108
DT607,P14060, DB01536
DT608,P14060, DB14538
DT609,P14060, DB14539
DT610,P14060, DB14540
DT611,P14060, DB14541
DT612,P14060, DB14542
DT613,P14060, DB14543
DT614,P14060, DB14544
DT615,O43246,DB00123
DT616,O43246, DB00125
DT617,P48167,DB00145
DT618,P48167, DB00431
DT619,P06818,DB00558
DT620,P06818, DB06614
DT621,P14780,DB00143
DT622,P14780, DB00786
DT623,P14780, DB01017
DT624,P14780, DB01197
DT625,P14780, DB01593
DT626,P14780, DB01949
DT627,P14780, DB03683
DT628,P14780, DB05387
DT629,P14780, DB05495
DT630,P14780, DB06423
DT631,P14780, DB07117
DT632,P14780, DB07246
DT633,P14780, DB07285
DT634,P14780, DB12843
DT635,P14780, DB14487
DT636,P14780, DB14533
DT637,P14780, DB14548
DT638,P26439,DB00157
DT639,P26439, DB01108
DT640,P13674,DB00126
DT641,P13674, DB00172
DT642,P13674, DB01275
DT643,P21554,DB00470
DT644,P21554, DB00486
DT645,P21554, DB02955
DT646,P21554, DB05077
DT647,P21554, DB05201
DT648,P21554, DB05750
DT649,P21554, DB06155
DT650,P21554, DB09061
DT651,P21554, DB09288
DT652,P21554, DB11745
DT653,P21554, DB11755
DT654,P21554, DB14009
DT655,P21554, DB14011
DT656,P30556,DB00177
DT657,P30556, DB00275
DT658,P30556, DB00678
DT659,P30556, DB00796
DT660,P30556, DB00876
DT661,P30556, DB00966
DT662,P30556, DB01029
DT663,P30556, DB01342
DT664,P30556, DB01347
DT665,P30556, DB01349
DT666,P30556, DB05739
DT667,P30556, DB08822
DT668,P30556, DB09279
DT669,P30556, DB11842
DT670,P30556, DB13919
DT671,P49591,DB00133
DT672,P34995,DB00297
DT673,P34995, DB00429
DT674,P34995, DB00770
DT675,P34995, DB00905
DT676,P34995, DB00917
DT677,P34995, DB00929
DT678,P34995, DB01088
DT679,P34995, DB09211
DT680,P34995, DB15071
DT681,P10515,DB00157
DT682,P10515, DB03758
DT683,P10515, DB03760
DT684,P11836,DB00073
DT685,P11836, DB00078
DT686,P11836, DB00081
DT687,P11836, DB06650
DT688,P11836, DB08935
DT689,P11836, DB09336
DT690,P11836, DB11850
DT691,P11836, DB11988
DT692,P11836, DB15434
DT693,P11836, DB16684
DT694,P29475,DB00155
DT695,P29475, DB00843
DT696,P29475, DB01221
DT697,P29475, DB01821
DT698,P29475, DB01942
DT699,P29475, DB01997
DT700,P29475, DB02027
DT701,P29475, DB02044
DT702,P29475, DB02077
DT703,P29475, DB02143
DT704,P29475, DB02207
DT705,P29475, DB02644
DT706,P29475, DB02727
DT707,P29475, DB02991
DT708,P29475, DB03144
DT709,P29475, DB03147
DT710,P29475, DB03247
DT711,P29475, DB03449
DT712,P29475, DB03461
DT713,P29475, DB03707
DT714,P29475, DB03710
DT715,P29475, DB03892
DT716,P29475, DB04223
DT717,P29475, DB06096
DT718,P29475, DB08018
DT719,P29475, DB08019
DT720,P29475, DB09241
DT721,P07195,DB00157
DT722,P07195, DB02401
DT723,P07195, DB03940
DT724,P07195, DB09118
DT725,P07195, DB11638
DT726,P24752,DB00795
DT727,P24752, DB09061
DT728,P24752, DB14009
DT729,P24752, DB14011
DT730,O15496,DB05737
DT731,O15496, DB13893
DT732,O15496, DB13894
DT733,Q07869,DB00132
DT734,Q07869, DB00159
DT735,Q07869, DB00197
DT736,Q07869, DB00313
DT737,Q07869, DB00328
DT738,Q07869, DB00412
DT739,Q07869, DB00573
DT740,Q07869, DB00636
DT741,Q07869, DB01039
DT742,Q07869, DB01050
DT743,Q07869, DB01118
DT744,Q07869, DB01241
DT745,Q07869, DB01393
DT746,Q07869, DB01708
DT747,Q07869, DB01890
DT748,Q07869, DB02266
DT749,Q07869, DB02709
DT750,Q07869, DB02746
DT751,Q07869, DB03017
DT752,Q07869, DB03193
DT753,Q07869, DB03756
DT754,Q07869, DB03796
DT755,Q07869, DB04224
DT756,Q07869, DB04519
DT757,Q07869, DB04557
DT758,Q07869, DB04971
DT759,Q07869, DB05187
DT760,Q07869, DB05416
DT761,Q07869, DB06510
DT762,Q07869, DB06521
DT763,Q07869, DB06533
DT764,Q07869, DB06536
DT765,Q07869, DB07215
DT766,Q07869, DB07724
DT767,Q07869, DB08231
DT768,Q07869, DB08915
DT769,Q07869, DB09006
DT770,Q07869, DB09064
DT771,Q07869, DB09213
DT772,Q07869, DB09422
DT773,Q07869, DB11133
DT774,Q07869, DB11605
DT775,Q07869, DB12007
DT776,Q07869, DB12961
DT777,Q07869, DB13873
DT778,Q07869, DB13961
DT779,Q9HCC0,DB00121
DT780,Q9UDR5,DB00142
DT781,Q9UDR5, DB00157
DT782,Q9UDR5, DB02338
DT783,Q9UDR5, DB04207
DT784,P51843,DB01234
DT785,P51843, DB14649
DT786,P10912,DB00052
DT787,P10912, DB00082
DT788,P10912, DB09098
DT789,P10912, DB15093
DT790,P10912, DB16220
DT791,Q9UDX3,DB00163
DT792,P00492,DB01033
DT793,P00492, DB01632
DT794,P00492, DB02309
DT795,P00492, DB03153
DT796,P00492, DB04356
DT797,P28702,DB00210
DT798,P28702, DB00307
DT799,P28702, DB00412
DT800,P28702, DB00459
DT801,P28702, DB00523
DT802,P28702, DB00755
DT803,P28702, DB00799
DT804,P28702, DB00926
DT805,P28702, DB01393
DT806,P28702, DB01941
DT807,P28702, DB02746
DT808,P28702, DB03756
DT809,P28702, DB07080
DT810,P28702, DB07929
DT811,P28702, DB08175
DT812,Q9Y600,DB00114
DT813,Q9Y600, DB00151
DT814,Q8IWU9,DB12095
DT815,O95299,DB00157
DT816,P12277,DB00148
DT817,P12277, DB13191
DT818,P31358,DB00087
DT819,Q13639,DB00320
DT820,Q13639, DB00604
DT821,Q13639, DB00904
DT822,Q13639, DB01079
DT823,Q13639, DB01233
DT824,Q13639, DB04873
DT825,Q13639, DB04917
DT826,Q13639, DB05542
DT827,Q13639, DB05905
DT828,Q13639, DB06422
DT829,Q13639, DB06480
DT830,Q13639, DB08810
DT831,Q13639, DB12702
DT832,P02792,DB00893
DT833,P02792, DB02285
DT834,P02792, DB09147
DT835,P02792, DB09517
DT836,P02792, DB13995
DT837,P42357,DB00117
DT838,Q02809,DB00126
DT839,P14618,DB00119
DT840,P14618, DB01733
DT841,P14618, DB02726
DT842,P14618, DB07628
DT843,P14618, DB07692
DT844,P14618, DB07697
DT845,P14618, DB08951
DT846,P14618, DB09130
DT847,P14618, DB11263
DT848,P14618, DB11638
DT849,O43920,DB00157
DT850,Q12809,DB00176
DT851,Q12809, DB00199
DT852,Q12809, DB00204
DT853,Q12809, DB00252
DT854,Q12809, DB00276
DT855,Q12809, DB00280
DT856,Q12809, DB00308
DT857,Q12809, DB00342
DT858,Q12809, DB00455
DT859,Q12809, DB00457
DT860,Q12809, DB00458
DT861,Q12809, DB00472
DT862,Q12809, DB00477
DT863,Q12809, DB00489
DT864,Q12809, DB00537
DT865,Q12809, DB00557
DT866,Q12809, DB00604
DT867,Q12809, DB00637
DT868,Q12809, DB00661
DT869,Q12809, DB00675
DT870,Q12809, DB00679
DT871,Q12809, DB00836
DT872,Q12809, DB00908
DT873,Q12809, DB01026
DT874,Q12809, DB01035
DT875,Q12809, DB01074
DT876,Q12809, DB01100
DT877,Q12809, DB01136
DT878,Q12809, DB01142
DT879,Q12809, DB01149
DT880,Q12809, DB01162
DT881,Q12809, DB01182
DT882,Q12809, DB01195
DT883,Q12809, DB01211
DT884,Q12809, DB01218
DT885,Q12809, DB01244
DT886,Q12809, DB04855
DT887,Q12809, DB04957
DT888,Q12809, DB06144
DT889,Q12809, DB06217
DT890,Q12809, DB06457
DT891,Q12809, DB11090
DT892,Q12809, DB11186
DT893,Q12809, DB11386
DT894,Q12809, DB11633
DT895,Q12809, DB11642
DT896,Q969P6,DB00762
DT897,Q969P6, DB01030
DT898,P11229,DB00185
DT899,P11229, DB00193
DT900,P11229, DB00209
DT901,P11229, DB00219
DT902,P11229, DB00245
DT903,P11229, DB00246
DT904,P11229, DB00280
DT905,P11229, DB00332
DT906,P11229, DB00334
DT907,P11229, DB00342
DT908,P11229, DB00354
DT909,P11229, DB00363
DT910,P11229, DB00376
DT911,P11229, DB00383
DT912,P11229, DB00387
DT913,P11229, DB00392
DT914,P11229, DB00408
DT915,P11229, DB00411
DT916,P11229, DB00420
DT917,P11229, DB00424
DT918,P11229, DB00434
DT919,P11229, DB00458
DT920,P11229, DB00462
DT921,P11229, DB00477
DT922,P11229, DB00483
DT923,P11229, DB00496
DT924,P11229, DB00505
DT925,P11229, DB00508
DT926,P11229, DB00517
DT927,P11229, DB00543
DT928,P11229, DB00572
DT929,P11229, DB00622
DT930,P11229, DB00670
DT931,P11229, DB00725
DT932,P11229, DB00747
DT933,P11229, DB00767
DT934,P11229, DB00771
DT935,P11229, DB00782
DT936,P11229, DB00804
DT937,P11229, DB00805
DT938,P11229, DB00809
DT939,P11229, DB00810
DT940,P11229, DB00835
DT941,P11229, DB00875
DT942,P11229, DB00907
DT943,P11229, DB00934
DT944,P11229, DB00940
DT945,P11229, DB00942
DT946,P11229, DB00979
DT947,P11229, DB00986
DT948,P11229, DB01019
DT949,P11229, DB01036
DT950,P11229, DB01062
DT951,P11229, DB01069
DT952,P11229, DB01085
DT953,P11229, DB01142
DT954,P11229, DB01148
DT955,P11229, DB01151
DT956,P11229, DB01175
DT957,P11229, DB01224
DT958,P11229, DB01231
DT959,P11229, DB01233
DT960,P11229, DB01238
DT961,P11229, DB01239
DT962,P11229, DB01403
DT963,P11229, DB01409
DT964,P11229, DB01591
DT965,P11229, DB01618
DT966,P11229, DB02010
DT967,P11229, DB03128
DT968,P11229, DB04365
DT969,P11229, DB04843
DT970,P11229, DB05152
DT971,P11229, DB05752
DT972,P11229, DB05766
DT973,P11229, DB06153
DT974,P11229, DB06702
DT975,P11229, DB06709
DT976,P11229, DB06787
DT977,P11229, DB08897
DT978,P11229, DB09076
DT979,P11229, DB09089
DT980,P11229, DB09167
DT981,P11229, DB09185
DT982,P11229, DB09262
DT983,P11229, DB11156
DT984,P11229, DB11181
DT985,P11229, DB11235
DT986,P11229, DB12278
DT987,P11229, DB13581
DT988,P11229, DB14185
DT989,O75380,DB00157
DT990,Q9Y289,DB00166
DT991,P34972,DB00470
DT992,P34972, DB00486
DT993,P34972, DB02955
DT994,P34972, DB06202
DT995,P34972, DB09061
DT996,P34972, DB11755
DT997,P34972, DB14009
DT998,P34972, DB14011
DT999,P34972, DB16321
DT1000,Q15800,DB00157
DT1001,Q8N8R3,DB00583
DT1002,P11177,DB00119
DT1003,P11177, DB00157
DT1004,Q9NS75,DB00716
DT1005,Q9NS75, DB08855
DT1006,Q9NS75, DB11858
DT1007,Q9BYZ2,DB00157
DT1008,P17707,DB00118
DT1009,P17707, DB01917
DT1010,P17707, DB08163
DT1011,Q9BYV1,DB00114
DT1012,Q9BYV1, DB00119
DT1013,Q9BYV1, DB00145
DT1014,Q9BYV1, DB00160
DT1015,P44469,DB00303
DT1016,P44469, DB00671
DT1017,Q14894,DB05235
DT1018,P35610,DB00973
DT1019,P35610, DB01094
DT1020,O76082,DB00583
DT1021,P13688,DB00113
DT1022,P51606,DB00141
DT1023,Q9H244,DB00208
DT1024,Q9H244, DB00374
DT1025,Q9H244, DB00758
DT1026,Q9H244, DB01240
DT1027,Q9H244, DB05553
DT1028,Q9H244, DB06209
DT1029,Q9H244, DB06350
DT1030,Q9H244, DB06441
DT1031,Q9H244, DB08816
DT1032,Q9H244, DB15163
DT1033,Q9H244, DB16349
DT1034,P21673,DB04633
DT1035,P25021,DB00272
DT1036,P25021, DB00321
DT1037,P25021, DB00408
DT1038,P25021, DB00434
DT1039,P25021, DB00501
DT1040,P25021, DB00585
